seller_type,bedroom,property_type,location,price,area,furnish,bathroom,,
OWNER,1 BHK,Independent House,Mundhwa,"6,750",450,None,1,,
OWNER,2 BHK,Apartment,Wakad,"18,000",916,None,2,,
OWNER,3 BHK,Apartment,Wagholi,"16,500",1085,Semi,3,,
OWNER,1 RK,Apartment,Kothrud,"8,000",250,Full,1,, 
OWNER,2 BHK,Apartment,Yerawada,"25,000",1005,Semi,2,,
OWNER,1 BHK,Apartment,Other,"11,000",600,Semi,1,,
OWNER,2 BHK,Apartment,Pimple Saudagar,"17,000",900,Semi,2,,
OWNER,2 BHK,Apartment,Hinjewadi,"13,500",900,Full,2,,
OWNER,1 RK,Apartment,Dhanori,"3,500",200,Full,1,,
OWNER,1 BHK,Apartment,Nigdi,"12,000",1000,Semi,1,,
OWNER,2 BHK,Apartment,Hinjewadi,"12,000",850,Semi,2,,
OWNER,1 BHK,Independent House,Other,"6,500",500,None,1,,
OWNER,3 BHK,Independent House,Viman Nagar,"20,000",1210,Full,3,,
OWNER,1 BHK,Apartment,Dhayari,"8,000",500,None,1,,
OWNER,2 BHK,Independent House,Pimple Nilakh,"18,000",950,Semi,2,,
OWNER,3 BHK,Apartment,Chakan,"9,500",1278,Semi,3,,
OWNER,1 BHK,Independent House,Wagholi,"6,500",750,None,1,,
OWNER,1 RK,Apartment,Chinchwad,"8,000",315,Semi,1,,
OWNER,2 BHK,Villa,Viman Nagar,"45,000",1200,Full,2,,
OWNER,3 BHK,Apartment,Kharadi,"35,000",1275,Full,3,,
OWNER,2 BHK,Apartment,Wakad,"17,000",1000,None,2,,
OWNER,1 BHK,Apartment,Wagholi,"7,500",520,Semi,1,,
OWNER,2 BHK,Apartment,Kalyani Nagar,"30,000",929,None,2,,
OWNER,2 BHK,Apartment,Ravet,"15,000",660,Full,2,,
OWNER,1 BHK,Apartment,Wakad,"14,000",600,None,1,,
OWNER,1 BHK,Independent House,Kharadi,"9,000",650,None,1,,
OWNER,1 BHK,Apartment,Kothrud,"13,000",650,Semi,1,,
OWNER,1 BHK,Independent House,Lohegaon,"8,000",650,None,1,,
OWNER,1 RK,Apartment,Mundhwa,"4,000",350,None,1,,
OWNER,2 BHK,Apartment,Pimple Saudagar,"24,000",1080,Full,2,,
OWNER,1 RK,Apartment,Parvati Darshan,"12,000",350,Semi,1,,
OWNER,2 BHK,Apartment,Chikhali,"9,000",675,Semi,2,,
OWNER,2 BHK,Apartment,Baner,"17,400",1100,Semi,2,,
OWNER,2 BHK,Apartment,Kothrud,"18,000",1000,Full,2,,
OWNER,1 BHK,Apartment,Chinchwad,"10,000",700,Semi,1,,
OWNER,2 BHK,Apartment,Wakad,"18,500",1026,Semi,2,,
OWNER,1 BHK,Apartment,Pimple Gurav,"9,500",650,None,1,,
OWNER,1 BHK,Independent House,Wakad,"16,500",630,Semi,1,,
OWNER,1 BHK,Independent House,Bhosari,"8,000",550,None,1,,
OWNER,1 BHK,Apartment,Lohegaon,"6,800",450,None,1,,
OWNER,2 BHK,Apartment,Undri,"10,000",900,Semi,2,,
OWNER,1 RK,Apartment,Dighi,"4,500",350,None,1,,
OWNER,1 BHK,Apartment,Kharadi,"11,000",620,Semi,1,,
OWNER,2 BHK,Apartment,Sus,"12,000",900,None,2,,
OWNER,1 BHK,Apartment,Wagholi,"8,100",610,None,1,,
OWNER,2 BHK,Apartment,Wagholi,"20,000",1100,Semi,2,,
OWNER,1 BHK,Independent House,Pimple Gurav,"9,500",630,Semi,1,,
OWNER,2 BHK,Apartment,Wakad,"19,000",1000,Semi,2,,
OWNER,1 BHK,Apartment,Hadapsar,"6,000",550,Semi,1,,
OWNER,2 BHK,Independent House,Kothrud,"35,000",1200,None,2,,
OWNER,1 BHK,Apartment,Hinjewadi,"9,000",500,None,1,,
OWNER,1 BHK,Apartment,Kharadi,"12,500",450,None,1,,
OWNER,1 BHK,Apartment,Other,"9,500",620,None,1,,
OWNER,2 BHK,Apartment,Dhanori,"17,000",851,Semi,2,,
OWNER,3 BHK,Apartment,Wagholi,"16,000",1080,Semi,3,,
OWNER,1 BHK,Apartment,Nigdi,"8,100",602,None,1,,
OWNER,2 BHK,Independent House,Tathawade,"14,500",942,Semi,2,,
OWNER,2 BHK,Apartment,Wakad,"18,500",975,None,2,,
AGENT,2 BHK,Apartment,Other,"15,000",900,None,2,,
OWNER,1 RK,Apartment,Karve Nagar,"3,500",500,Full,1,,
